파일	스테이지	LOC	최종수정	역할	플래그	비고
scripts/safe/groot_n15/robocasa/collect/backfill_instruction_ep_meta.py	S1	182	06-11	기존 rollout pkl 에서 ep_meta 역생성	instruction계열	일회성 backfill 성격
scripts/safe/groot_n15/robocasa/collect/collect_instruction_fixed_http_features.py	S1	268	06-22	instruction-fixed manifest 기반 수집 실행	instruction계열	http_feature_collect 와 역할 중복 여부 확인 필요
scripts/safe/groot_n15/robocasa/collect/classify_instructions.py	S1	127	06-22	자연 수집 rollout 을 instruction 별로 사후 분류	고아,instruction계열	
scripts/safe/groot_n15/robocasa/collect/phase_live_rollout.py	S1	163	07-28	라이브 rollout + 라이브 phase readout 수집	고아,시각화	phase_live_render 와 한 쌍
scripts/safe/groot_n15/robocasa/collect/phase_live_render.py	S1	126	07-27	위 산출물 → 참고영상 스타일 mp4	시각화	
scripts/safe/groot_n15/robocasa/collect/phase_render_from_real.py	S1	122	07-28	실제 수집 산출물(pkl+mp4) → 3트랙 영상	고아,시각화	S8(시각화)로 이동 후보
scripts/safe/groot_n15/robocasa/collect/collect_cam_attn.sh	S1	70	07-22	cam-attention 수집 (DiT cross-attn 뷰별 mass + phase GT)	곁가지	구 etc/23_wrist_cam_attention 실험용. 그 문서는 archive 됨
scripts/safe/groot_n15/robocasa/collect/collect_phase_event_4cell.sh	S1	77	07-06	4 instruction cell × 고정 scenario_seed 수집	고아,라운드전용	
scripts/safe/groot_n15/robocasa/collect/collect_bread_strict.sh	S1	72	07-06	bread drop-aware 재수집	고아,라운드전용	
scripts/safe/groot_n15/robocasa/collect/collect_potato_apple_seed2.sh	S1	94	07-06	potato/apple 다른 seed 재수집 (실패 보강)	고아,라운드전용	
scripts/safe/groot_n15/robocasa/collect/watch_phase_event_cleanup.sh	S1	31	07-06	수집 완료 감시 → split 기록 + serve kill	고아,운영	
scripts/safe/groot_n15/robocasa/collect/archive_on_done.sh	S1	32	07-06	수집 완료 대기 → 원격 HDD rsync 백업	고아,운영	⚠ DATA_HANDLING §2 규약(-L, 상대 심링크) 준수 여부 확인 필요
scripts/safe/groot_n15/robocasa/collect/_diag_wrong_grasp.py	S1	34	07-06	wrong-grasp 술어 런타임 진단 (일회성)	고아,진단	
scripts/safe/groot_n16/robocasa/collect/repro_check.py	S1	87	07-06	seed 재현성 확인 단발 스크립트	고아,진단	
