exp	라운드	task_cell	arm(연산자)	layer	dose	n	base_SR	Δ판	위약Δ	p	판정	데이터	출처
exp3	fit30 사전등록	ppcc	perm conceptor (H1)	L15	β	180	-	-4	-5	.85/adj 1.0	null(관문위반)	steer_eval_exp3/aggregate_f30	22
exp3	fit30 사전등록	ppcc	gated conceptor (H2)	L15	β	180	-	-7	-5	.91/adj 1.0	null	steer_eval_exp3/aggregate_f30	22
exp3	fit30 탐색	drawer	perm within-instruction	L0	β	120	-	+11 (16W/5L)	+6	미보정	약신호(2R연속)	steer_eval_exp3/aggregate_f30	22
exp3	fit30 탐색	drawer	gated within-instruction	L0	β	120	-	+9 (18W/9L)	+6	미보정	약신호(2R연속)	steer_eval_exp3/aggregate_f30	22
exp3	fit30 탐색	ppcc	perm within-instruction	L15	β	180	-	-6 (13W/19L)	-5	미보정	비재현	steer_eval_exp3/aggregate_f30	22
patchceil	오라클 상한	ppcc_bread_s300033	donor activation 이식(full-token)	L15	전창	40	0.00(실패한정)	0	0	-	null	patchceil/	25b
patchceil	오라클 상한	ppcc_bread_s400020	donor activation 이식(full-token)	L15	전창	37	0.00(실패한정)	+2	0	p=0.25	null	patchceil/	25b
patchceil	오라클 상한	2cell 합산	donor activation 이식	L15	전창	77	0.00	+2 (2.6%)	+1(shuffle)	p_final=0.50	null	patchceil/	25b
patchceil	대조	2cell 합산	direct action-replay	-	-	77	0.00	+12 (15.6%)	-	-	참고(개입창 존재)	patchceil/	25b
exp5-3	within-scene	drawer 20scene×8seed	setM_within permanent	L12	β=1.0	160	0.344	-51	-	<1e-4	파괴적 해악	exp5_3/	36
exp5-3	within-scene	drawer	setM_within gated	L12	β=1.0	27(부분)	0.519	-8	-	0.02	해악	exp5_3/	36
exp5-3	β sweep(A0 40셀)	drawer	setM full	L12	β=0.5	40	0.350	-5 (SR .225)	-	-	해악	exp5_3/	36
exp5-3	β sweep	drawer	setM full	L12	β=0.2	40	0.350	-2 (SR .300)	-	-	해악	exp5_3/	36
exp5-3	β sweep	drawer	setM future-only	L12	β=1.0	40	0.350	0 (SR .350)	위약 SR .300	-	위약 미초과	exp5_3/	36
exp5-3	β sweep	drawer	setM gated×future	L12	β=1.0	40	0.350	-1 (SR .325)	위약 SR .300	-	위약 미초과	exp5_3/	36
exp5-2	섭동 유도실패 locked	ppcc_bread_100084 p1_d003	setM (평균차이, DiT)	L10	β=0.3	24	0.33	+4 (SR .50)	위약 .25	McNemar≈.03	★유일 위약분리	exp42_induced/	35
exp5-2	섭동 유도실패 locked	ppcc_bread_100084 c1_s200	setm_vl (VL 평균이동)	VL	β=1.0	24	0.33	+1 (SR .375)	위약 .25	3:0 미보정	약양성	exp42_induced/	35
exp5-2	섭동 유도실패	ppcc_bread_100084 c1_s200	setM (DiT)	L10	β0.3~1.0	12	0.25	용량의존 악화	-	-	해악	exp42_induced/	35
